-6 0.0219 0.0805 1 0.0452 24.8
-5.6 0.0387 0.124 1 0.0864 35
-5.2 0.0566 0.141 1 0.0838 16.1
-4.8 0.0773 0.187 1 0.0975 10.4
-4.4 0.107 0.231 1 0.0857 6.17
-4 0.125 0.28 1 0.0893 3.31
-2.8 0.244 0.33 1 0.113 2.28
-1.9 0.342 0.382 1 0.111 1.1
-1.5 0.39 0.433 1 0.111 0.791
-0.9 0.464 0.482 1 0.109 0.608
-0.5 0.515 0.527 1 0.105 0.482
-0.1 0.565 0.567 1 0.0999 0.386
0.5 0.639 0.601 1 0.0949 0.305
1.1 0.712 0.629 1 0.0832 0.222
2 0.803 0.65 1.42 0.0584 0.134
2.4 0.827 0.667 1.57 0.0654 0.131
2.8 0.877 0.679 1.67 0.0768 0.145
3.2 0.915 0.688 1.81 0.0491 0.087
3.6 0.934 0.687 2.07 0.0358 0.06
4 0.957 0.686 2.22 0.033 0.0536
4.4 0.973 0.682 2.28 0.0244 0.0384
4.8 0.986 0.679 2.32 0.0209 0.0322
5.2 0.998 0.669 2.33 0.0117 0.0177
5.6 1 0.659 2.34 0.00999 0.0149
6 1.01 0.648 2.33 0.0166 0.0245
6.4 1.02 0.639 2.31 0 0
6.8 1.01 0.62 2.33 -0.0166 -0.0245
7.2 1 0.625 2.34 -0.00832 -0.0124
7.6 1 0.62 2.34 0 0
8 1 0.622 2.35 -0.0025 -0.00376
8.4 0.997 0.62 2.36 -0.00334 -0.00502
8.8 0.996 0.625 2.36 -0.00334 -0.00505
9.2 0.993 0.62 2.37 -0.0109 -0.0166
9.6 0.983 0.639 2.39 -0.00251 -0.00381
10 0.99 0.648 2.37 0.0142 0.0216
10.4 1 0.659 2.34 0.00835 0.0126
10.8 1 0.669 2.32 0.00832 0.0124
11.2 1.01 0.679 2.26 0.0249 0.0364
11.6 1.03 0.682 2.16 0.0248 0.0357
12 1.04 0.686 2.03 0.0328 0.0454
12.4 1.07 0.687 1.81 0.0327 0.0445
12.8 1.08 0.688 1.53 0.0404 0.0522
13.2 1.12 0.679 1.31 0.0721 0.089
13.6 1.17 0.667 1.11 0.0635 0.0744
14 1.2 0.65 0.955 0.0546 0.059
14.9 1.29 0.629 0.7 0.0664 0.0655
15.5 1.36 0.601 0.503 0.0702 0.0632
16.1 1.43 0.567 0.437 0.0716 0.0595
16.5 1.48 0.527 0.366 0.0804 0.0624
16.9 1.54 0.482 0.284 0.077 0.0564
17.5 1.61 0.433 0.227 0.0688 0.0469
17.9 1.66 0.382 0.157 0.0663 0.0424
18.8 1.76 0.33 0.102 0.0583 0.0341
20 1.88 0.28 0.0796 0.034 0.0186
20.4 1.89 0.231 0.0462 0.0269 0.0139
20.8 1.92 0.187 0.0302 0.0336 0.017
21.2 1.94 0.141 0.0155 0.0267 0.0133
21.6 1.96 0.124 0.00816 0.0266 0.013
22 1.98 0.0805 0.00429 0.0199 0.00961
22.4 1.99 0.0617 0.00213 0.0133 0.00631
22.8 2 0.0358 0.000981 0.00662 0.00314
23.2 2 0.0181 0.000441 0 0
23.6 2 0.00387 0.000197 0 0
24 2 0 8.85e-05 0 0
24.4 2 0 3.97e-05 0 0
24.8 2 0 1.78e-05 0 0
25.2 2 0 7.98e-06 0 0
25.6 2 0 3.59e-06 0 0
26 2 0 1.61e-06 0 0
26.4 2 0 7.25e-07 0 0
26.8 2 0 3.25e-07 0 0
27.2 2 0 1.46e-07 0 0
27.6 2 0 6.57e-08 0 0
28 2 0 2.82e-08 0 0
28.6 2 0 1.08e-08 0 0
29 2 0 3.41e-09 0 0
29.4 2 0 1.4e-09 0 0
29.8 2 0 8.06e-10 0 0
30.2 2 0 3.63e-10 0 0
30.6 2 0 1.63e-10 0 0
31 2 0 7.3e-11 0 0
31.4 2 0 3.3e-11 0 0
31.8 2 0 1.46e-11 0 0
32.3 2 0 6.12e-12 0 0
32.7 2 0 2.39e-12 0 0
33.1 2 0 9.47e-13 0 0
33.5 2 0 4.77e-13 0 0
34 2 0 1.8e-13 0 0
34.7 2 0 3.59e-14 0 0
36.6 2 0 1.71e-15 0 0
