-15 0.156 0.535 0.15 1
-14.6 0.165 0.558 0.159 1
-14.2 0.175 0.581 0.168 1
-13.8 0.185 0.605 0.177 1
-13.4 0.196 0.628 0.187 1
-13 0.207 0.652 0.197 1
-12.6 0.219 0.676 0.208 1
-12.2 0.232 0.7 0.219 1
-11.8 0.245 0.725 0.23 1
-11.4 0.258 0.75 0.242 1
-11 0.272 0.775 0.254 1
-10.6 0.287 0.801 0.266 1
-10.2 0.302 0.826 0.279 1
-9.8 0.318 0.852 0.292 1
-9.4 0.335 0.878 0.305 0.912
-9 0.352 0.904 0.319 0.906
-8.6 0.369 0.93 0.333 0.901
-8.2 0.388 0.957 0.347 0.895
-7.8 0.406 0.985 0.361 0.888
-7.4 0.426 1.01 0.375 0.881
-7 0.446 1.04 0.389 0.873
-6.6 0.466 1.06 0.403 0.866
-6.2 0.487 1.09 0.418 0.857
-5.8 0.509 1.11 0.432 0.849
-5.4 0.531 1.12 0.446 0.84
-5 0.553 1.14 0.46 0.831
-4.6 0.576 1.15 0.474 0.823
-4.2 0.6 1.15 0.487 0.812
7.9 1.38 1.15 0.491 0.355
8.3 1.41 1.15 0.484 0.344
8.7 1.43 1.14 0.47 0.329
9.1 1.45 1.13 0.456 0.314
9.5 1.47 1.12 0.442 0.3
9.9 1.5 1.1 0.428 0.286
10.3 1.52 1.08 0.414 0.273
10.7 1.54 1.06 0.4 0.26
11.1 1.56 1.03 0.386 0.247
11.5 1.58 1.01 0.371 0.235
11.9 1.6 0.978 0.357 0.224
12.3 1.62 0.95 0.343 0.212
12.7 1.63 0.923 0.329 0.201
13.1 1.65 0.897 0.315 0.191
13.5 1.67 0.871 0.302 0.181
13.9 1.69 0.846 0.289 0.171
14.3 1.7 0.82 0.276 0.162
14.7 1.72 0.794 0.263 0.153
15.1 1.73 0.769 0.251 0.145
15.5 1.75 0.743 0.239 0.137
15.9 1.76 0.718 0.227 0.129
16.3 1.77 0.693 0.216 0.122
16.7 1.78 0.669 0.205 0.115
17.1 1.8 0.644 0.195 0.108
17.5 1.81 0.62 0.184 0.102
17.9 1.82 0.597 0.175 0.0962
18.3 1.83 0.574 0.166 0.0906
18.7 1.84 0.552 0.157 0.0852
19.1 1.85 0.53 0.148 0.0802
19.5 1.86 0.508 0.14 0.0754
19.9 1.86 0.487 0.132 0.0709
20.3 1.87 0.467 0.125 0.0666
20.7 1.88 0.447 0.118 0.0626
21.1 1.89 0.428 0.111 0.0589
21.5 1.89 0.41 0.105 0.0553
21.9 1.9 0.392 0.0987 0.0519
22.3 1.91 0.374 0.0929 0.0488
22.7 1.91 0.358 0.0874 0.0458
23.1 1.92 0.341 0.0823 0.043
23.5 1.92 0.326 0.0774 0.0403
23.9 1.93 0.311 0.0728 0.0378
24.3 1.93 0.296 0.0685 0.0355
24.7 1.93 0.282 0.0643 0.0333
25.1 1.94 0.269 0.0605 0.0312
25.5 1.94 0.256 0.0568 0.0292
25.9 1.95 0.244 0.0533 0.0274
