		Integrated Y 3
-20	3.65297525006802E-6	0
-19.5	7.66192833001611E-6	9.16363260147768E-5
-19	1.63077343500184E-5	2.6812106796581E-4
-18.5	3.43768434998282E-5	6.02580802029517E-4
-18	7.26567481199591E-5	0.00124772649389782
-17.5	1.54714399419831E-4	0.00250106808431522
-17	3.27864373180109E-4	0.00483831002085361
-16.5	6.89495139970298E-4	0.00912136326215112
-16	0.00143309403764036	0.0168169729069729
-15.5	0.00295692344510989	0.030184840585456
-15	0.00595834967443976	0.052103354926695
-14.5	0.01152057800003	0.0858714331641355
-14	0.0210546060615899	0.133095903015588
-13.5	0.03597152314578	0.191462057197637
-13	0.05747295910309	0.261978393542694
-12.5	0.0857059016506598	0.342358092777159
-12	0.12087738419673	0.426226151239142
-11.8	0.13657361662095	0.461500473384703
-11.6	0.1535130754708	0.498982755169627
-11.4	0.17087414147011	0.537136781360466
-11.2	0.1902739935133	0.575823935894411
-11	0.20966542937986	0.615141659719418
-10.8	0.23047099166625	0.656115684320861
-10.6	0.25176577775904	0.700131241952744
-10.4	0.27406031544659	0.7436965178486
-10.2	0.29711047379904	0.788155593983229
-10	0.32194376813585	0.833687922239076
-9.8	0.34675764242569	0.878104460021886
-9.6	0.37224637892124	0.922102671595144
-9.4	0.39784797721814	0.965615846831337
-9.2	0.42469090929929	1.00965699288643
-9	0.45205302069285	1.05326407613889
-8.8	0.47804517097006	1.09619341275391
-8.6	0.5049728777423	1.13755936684706
-8.4	0.53183781342075	1.17470357276117
-8.2	0.55793020937946	1.20983418717528
-8	0.58463058836741	1.24393345671378
-7.8	0.61126392569444	1.2780901619617
-7.6	0.6372960162245	1.31125810638703
-7.4	0.66350379063317	1.34099275689915
-7.2	0.68837104827017	1.36943102001931
-7	0.71225879733042	1.39315635144479
-6.8	0.73644515420779	1.41441253069639
-6.6	0.76042132166666	1.43516425423151
-6.4	0.78309815677671	1.45389667599431
-6.2	0.80352854088865	1.46828007459728
-6	0.82547863554515	1.47862372342803
-5.8	0.84596911549805	1.48856098957484
-5.6	0.86419669139976	1.49404187495929
-5.4	0.88258133568385	1.49813845252457
-5.2	0.89939441257691	1.49999454202716
-5	0.91500119486646	1.49332273750564
-4.8	0.92814207432532	1.48081352005166
-4.6	0.94086046442096	1.46813187837065
-4.4	0.95205913557219	1.45653034539782
-4.2	0.96107097125716	1.44326092247265
-4	0.9691983791445	1.42830438017625
-3.8	0.97608691667956	1.41251565723672
-3.6	0.98138863584322	1.39619822809029
-3.4	0.98602140839679	1.3799685172339
-3.2	0.98926550001849	1.36563552927858
-3	0.99176919106295	1.3537459510473
-2.8	0.99406114393911	1.34349191524497
-2.6	0.99529811986646	1.33475298020224
-2.4	0.99643828783934	1.32703620459362
-2.2	0.99746649308688	1.32062054064339
-2	0.9980816708846	1.31566749819119
-1.8	0.99858821674874	1.31165708919831
-1.6	0.99894220677888	1.30849860307101
-1.4	0.99923030245534	1.30607668591698
-1.2	0.99943202103042	1.30417351384792
-1	0.99958238610501	1.30269518549902
-0.8	0.99972410499991	1.30156271904933
-0.6	0.99980483558533	1.30071073519473
-0.4	0.99987680466047	1.30016242741301
-0.2	0.9999408166976	1.29983770495466
0	1	1.29973241667337
0.2	1.00006	1.29984341667337
0.4	1.00012	1.30017641667337
0.6	1.0002	1.30073141667337
0.8	1.00028	1.30159241667337
1	1.00042	1.30272041667337
1.2	1.00057	1.30418741667337
1.4	1.00077	1.30607441667337
1.6	1.00106	1.30848041667337
1.8	1.00141	1.31164241667337
2	1.00192	1.31564441667337
2.2	1.00253	1.32057941667337
2.4	1.00356	1.32698741667337
2.6	1.0047	1.33469441667337
2.8	1.00594	1.34340641667337
3	1.00823	1.35363641667337
3.2	1.01073	1.36552541667337
3.4	1.01398	1.37986841667337
3.6	1.01861	1.39609241667337
3.8	1.02391	1.41240641667337
4	1.0308	1.42820141667337
4.2	1.03893	1.44316241667337
4.4	1.04794	1.45644041667337
4.6	1.05914	1.46804141667337
4.8	1.07186	1.48071341667337
5	1.085	1.49320241667337
5.2	1.10061	1.49985641667337
5.4	1.11742	1.49801141667337
5.6	1.1358	1.49393441667337
5.8	1.15403	1.48844141667337
6	1.17452	1.47848741667337
6.2	1.19647	1.46815541667337
6.4	1.2169	1.45379141667337
6.6	1.23958	1.43505341667337
6.8	1.26355	1.41428141667337
7	1.28774	1.39301741667337
7.2	1.31163	1.36929041667337
7.4	1.3365	1.34085041667337
7.6	1.3627	1.31111141667337
7.8	1.38874	1.27795541667337
8	1.41537	1.24381541667337
8.2	1.44207	1.20972341667337
8.4	1.46816	1.17460541667337
8.6	1.49503	1.13748641667337
8.8	1.52195	1.09614941667337
9	1.54795	1.05321941667337
9.2	1.57531	1.00960841667337
9.4	1.60215	0.965556416673368
9.6	1.62775	0.922029416673368
9.8	1.65324	0.878028416673368
10	1.67806	0.833598416673368
10.2	1.70289	0.788076416673368
10.4	1.72594	0.743625416673368
10.6	1.74823	0.700041416673368
10.8	1.76953	0.656016416673368
11	1.79033	0.615057416673368
11.2	1.80973	0.575751416673369
11.4	1.82913	0.537039416673369
11.6	1.84649	0.49887041667337
11.8	1.86343	0.46141541667337
12	1.87912	0.426159416673371
12.5	1.91429	0.342286916673371
13	1.94253	0.261931916673371
13.5	1.96403	0.191446916673372
14	1.97895	0.133081916673372
14.5	1.98848	0.0858619166733723
15	1.99404	0.0521269166733724
15.5	1.99704	0.030241916673373
16	1.99857	0.0169219166733723
16.5	1.99931	0.00925691667337254
17	1.99967	0.00498191667337301
17.5	1.99985	0.00265691667337377
18	1.99993	0.00144941667337418
18.5	1.99997	8.49416673375083E-4
19	1.99998	5.19416673376585E-4
19.5	1.99999	3.46916673376621E-4
20	2	2.34416673375884E-4
