# U0/t0  Spi  +-
4.11 1.347 0.03998
4.26 1.388 0.04118
4.409 1.427 0.04234
4.559 1.464 0.04345
4.709 1.5 0.04452
4.858 1.535 0.04554
5.008 1.568 0.04653
5.158 1.6 0.04748
5.307 1.63 0.04839
5.457 1.66 0.04926
5.607 1.688 0.05009
5.756 1.715 0.05088
5.906 1.74 0.05164
6.056 1.765 0.05237
6.205 1.788 0.05306
6.355 1.81 0.05371
6.505 1.831 0.05433
6.654 1.851 0.05492
6.804 1.87 0.05548
6.954 1.887 0.05601
7.103 1.904 0.05651
7.253 1.92 0.05698
7.403 1.935 0.05742
7.553 1.949 0.05783
7.702 1.962 0.05821
7.852 1.974 0.05857
8.002 1.985 0.0589
8.151 1.995 0.05921
8.301 2.005 0.05949
8.451 2.013 0.05975
8.6 2.021 0.05998
8.75 2.028 0.06019
8.9 2.035 0.06038
9.049 2.04 0.06055
9.199 2.045 0.0607
9.349 2.05 0.06082
9.498 2.053 0.06093
9.648 2.056 0.06102
9.798 2.058 0.06109
9.947 2.06 0.06114
10.1 2.061 0.06117
10.25 2.062 0.06119
10.4 2.062 0.06119
10.55 2.062 0.06118
10.7 2.061 0.06115
10.85 2.059 0.0611
11 2.057 0.06105
11.14 2.055 0.06097
11.29 2.052 0.06089
11.44 2.048 0.06079
11.59 2.045 0.06068
11.74 2.041 0.06056
11.89 2.036 0.06043
12.04 2.031 0.06029
12.19 2.026 0.06013
12.34 2.021 0.05997
12.49 2.015 0.0598
12.64 2.009 0.05962
12.79 2.003 0.05943
12.94 1.996 0.05923
13.09 1.989 0.05903
13.24 1.982 0.05881
13.39 1.974 0.0586
13.54 1.967 0.05837
13.69 1.959 0.05814
13.84 1.951 0.05791
13.99 1.943 0.05766
14.14 1.935 0.05742
14.29 1.926 0.05717
14.44 1.918 0.05691
14.59 1.909 0.05666
14.74 1.9 0.05639
14.89 1.891 0.05613
15.04 1.882 0.05586
15.19 1.873 0.05559
15.34 1.864 0.05532
15.49 1.855 0.05505
15.64 1.846 0.05478
15.79 1.837 0.0545
15.93 1.827 0.05423
16.08 1.818 0.05395
16.23 1.809 0.05367
16.38 1.799 0.0534
16.53 1.79 0.05312
16.68 1.781 0.05284
16.83 1.771 0.05257
16.98 1.762 0.05229
17.13 1.753 0.05202
17.28 1.744 0.05175
17.43 1.735 0.05148
17.58 1.726 0.05121
17.73 1.717 0.05094
17.88 1.708 0.05068
18.03 1.699 0.05042
18.18 1.69 0.05016
18.33 1.682 0.0499
18.48 1.673 0.04965
18.63 1.665 0.0494
18.78 1.656 0.04915
18.93 1.648 0.04891
19.08 1.64 0.04867
19.23 1.632 0.04843
19.38 1.624 0.0482
19.53 1.616 0.04797
19.68 1.609 0.04775
19.83 1.601 0.04753
19.98 1.594 0.04731
20.13 1.587 0.0471
20.28 1.58 0.04689
20.43 1.573 0.04669
20.57 1.567 0.04649
20.72 1.56 0.04629
20.87 1.554 0.0461
21.02 1.547 0.04592
21.17 1.541 0.04574
21.32 1.535 0.04556
21.47 1.53 0.04539
21.62 1.524 0.04523
21.77 1.519 0.04506
21.92 1.513 0.04491
22.07 1.508 0.04476
22.22 1.503 0.04461
22.37 1.498 0.04446
22.52 1.494 0.04433
22.67 1.489 0.04419
22.82 1.485 0.04406
22.97 1.481 0.04394
23.12 1.477 0.04382
23.27 1.473 0.0437
23.42 1.469 0.04359
23.57 1.465 0.04348
23.72 1.462 0.04338
23.87 1.458 0.04328
24.02 1.455 0.04319
24.17 1.452 0.04309
24.32 1.449 0.04301
24.47 1.446 0.04292
24.62 1.444 0.04284
24.77 1.441 0.04276
24.92 1.438 0.04269
25.07 1.436 0.04262
25.22 1.434 0.04255
25.36 1.431 0.04248
25.51 1.429 0.04242
25.66 1.427 0.04236
25.81 1.425 0.0423
25.96 1.423 0.04224
26.11 1.421 0.04218
26.26 1.42 0.04213
26.41 1.418 0.04207
26.56 1.416 0.04202
26.71 1.414 0.04197
26.86 1.413 0.04192
27.01 1.411 0.04187
27.16 1.409 0.04182
27.31 1.407 0.04177
27.46 1.406 0.04172
27.61 1.404 0.04166
27.76 1.402 0.04161
27.91 1.4 0.04156
28.06 1.398 0.0415
28.21 1.396 0.04144
28.36 1.394 0.04138
28.51 1.392 0.04132
28.66 1.39 0.04125
28.81 1.388 0.04118
28.96 1.385 0.04111
29.11 1.383 0.04103
29.26 1.38 0.04095
29.41 1.377 0.04087
29.56 1.374 0.04078
29.71 1.371 0.04068
29.86 1.367 0.04058
